condition_cluster,condition_name,limit_mgNm3,candidate_bank_fraction,supported_candidates,status,best_power_kW
1,低温低浓度高流量,10.0,0.25,42615,SCENARIO_FEASIBLE,1645.421643720623
1,低温低浓度高流量,10.0,0.5,85231,SCENARIO_FEASIBLE,1643.01215825304
1,低温低浓度高流量,10.0,0.75,127846,SCENARIO_FEASIBLE,1643.01215825304
1,低温低浓度高流量,10.0,1.0,170462,SCENARIO_FEASIBLE,1643.01215825304
1,低温低浓度高流量,5.0,0.25,42615,SCENARIO_FEASIBLE,1858.2638389751069
1,低温低浓度高流量,5.0,0.5,85231,SCENARIO_FEASIBLE,1858.2638389751069
1,低温低浓度高流量,5.0,0.75,127846,SCENARIO_FEASIBLE,1858.2638389751069
1,低温低浓度高流量,5.0,1.0,170462,SCENARIO_FEASIBLE,1858.2638389751069
2,高温中浓度低流量,10.0,0.25,32132,SCENARIO_FEASIBLE,1712.8520974004327
2,高温中浓度低流量,10.0,0.5,64265,SCENARIO_FEASIBLE,1712.8520974004327
2,高温中浓度低流量,10.0,0.75,96398,SCENARIO_FEASIBLE,1706.7739587245856
2,高温中浓度低流量,10.0,1.0,128531,SCENARIO_FEASIBLE,1706.7739587245856
2,高温中浓度低流量,5.0,0.25,32132,SCENARIO_FEASIBLE,1944.2797568186168
2,高温中浓度低流量,5.0,0.5,64265,SCENARIO_FEASIBLE,1944.2797568186168
2,高温中浓度低流量,5.0,0.75,96398,SCENARIO_FEASIBLE,1944.2797568186168
2,高温中浓度低流量,5.0,1.0,128531,SCENARIO_FEASIBLE,1944.2797568186168
3,高温高浓度高流量,10.0,0.25,23035,SCENARIO_FEASIBLE,1600.6643377774149
3,高温高浓度高流量,10.0,0.5,46070,SCENARIO_FEASIBLE,1600.6643377774149
3,高温高浓度高流量,10.0,0.75,69105,SCENARIO_FEASIBLE,1600.6643377774149
3,高温高浓度高流量,10.0,1.0,92140,SCENARIO_FEASIBLE,1600.6643377774149
3,高温高浓度高流量,5.0,0.25,23035,SCENARIO_FEASIBLE,1827.0944147971297
3,高温高浓度高流量,5.0,0.5,46070,SCENARIO_FEASIBLE,1827.0944147971297
3,高温高浓度高流量,5.0,0.75,69105,SCENARIO_FEASIBLE,1827.0944147971297
3,高温高浓度高流量,5.0,1.0,92140,SCENARIO_FEASIBLE,1824.875654317018
4,低温高浓度低流量,10.0,0.25,37269,SCENARIO_FEASIBLE,1545.030341984145
4,低温高浓度低流量,10.0,0.5,74538,SCENARIO_FEASIBLE,1545.030341984145
4,低温高浓度低流量,10.0,0.75,111807,SCENARIO_FEASIBLE,1545.030341984145
4,低温高浓度低流量,10.0,1.0,149077,SCENARIO_FEASIBLE,1545.030341984145
4,低温高浓度低流量,5.0,0.25,37269,SCENARIO_FEASIBLE,1742.5932216184049
4,低温高浓度低流量,5.0,0.5,74538,SCENARIO_FEASIBLE,1742.5932216184049
4,低温高浓度低流量,5.0,0.75,111807,SCENARIO_FEASIBLE,1742.5932216184049
4,低温高浓度低流量,5.0,1.0,149077,SCENARIO_FEASIBLE,1742.5932216184049
