outlet_scale,alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
0.08,equal,1.1,0.65,-0.3,True,1561.7457996182943,1739.2903548003428,11.368338895192931
0.08,equal,1.1,0.65,-0.18,True,1561.7457996182943,1740.0127499205205,11.414594509925768
0.08,equal,1.1,0.65,-0.1,True,1561.7457996182943,1740.0127499205205,11.414594509925768
0.08,equal,1.1,0.8,-0.3,True,1563.166379368054,1749.2597945128298,11.904901333664064
0.08,equal,1.1,0.8,-0.18,True,1561.7457996182943,1749.2597945128298,12.006691161926963
0.08,equal,1.1,0.8,-0.1,True,1562.349993875001,1750.9614851756303,12.072294430829022
0.08,equal,1.1,1.0,-0.3,True,1565.248720138238,1771.8998425973946,13.202446346092888
0.08,equal,1.1,1.0,-0.18,True,1568.8462800570412,1769.329754103243,12.779038749348492
0.08,equal,1.1,1.0,-0.1,True,1568.8462800570412,1767.4567648945654,12.659652342121298
0.08,equal,1.35,0.65,-0.3,True,1561.7457996182943,1740.3409734885986,11.435610962677444
0.08,equal,1.35,0.65,-0.18,True,1561.7457996182943,1740.0127499205205,11.414594509925768
0.08,equal,1.35,0.65,-0.1,True,1561.7457996182943,1740.975480046542,11.476238993058496
0.08,equal,1.35,0.8,-0.3,True,1563.166379368054,1749.7087273983911,11.933620789985966
0.08,equal,1.35,0.8,-0.18,True,1563.166379368054,1749.2597945128298,11.904901333664064
0.08,equal,1.35,0.8,-0.1,True,1562.349993875001,1752.0141266762455,12.139669955182853
0.08,equal,1.35,1.0,-0.3,True,1565.248720138238,1772.8515795259336,13.2632505439366
0.08,equal,1.35,1.0,-0.18,True,1568.8462800570412,1769.329754103243,12.779038749348492
0.08,equal,1.35,1.0,-0.1,True,1569.0680927088722,1769.329754103243,12.763095644156186
0.08,equal,1.6,0.65,-0.3,True,1561.7457996182943,1741.8266816172536,11.530742201642074
0.08,equal,1.6,0.65,-0.18,True,1561.7457996182943,1742.8374073106183,11.595459884482139
0.08,equal,1.6,0.65,-0.1,True,1561.7457996182943,1740.975480046542,11.476238993058496
0.08,equal,1.6,0.8,-0.3,True,1563.166379368054,1753.8360662070108,12.197657866467114
0.08,equal,1.6,0.8,-0.18,True,1563.166379368054,1749.2597945128298,11.904901333664064
0.08,equal,1.6,0.8,-0.1,True,1562.349993875001,1753.0994234182515,12.209135615646938
0.08,equal,1.6,1.0,-0.3,True,1566.1662201167696,1773.5899131848273,13.244040792336364
0.08,equal,1.6,1.0,-0.18,True,1568.8462800570412,1774.590792938046,13.114383193331358
0.08,equal,1.6,1.0,-0.1,True,1569.0680927088722,1770.1185779850357,12.813369044364787
0.08,weak_front,1.1,0.65,-0.3,True,1561.7457996182943,1744.3894359191565,11.69483768392412
0.08,weak_front,1.1,0.65,-0.18,True,1561.7457996182943,1745.0195458328226,11.735184193184466
0.08,weak_front,1.1,0.65,-0.1,True,1561.7457996182943,1743.066104804592,11.610103592442123
0.08,weak_front,1.1,0.8,-0.3,True,1564.4544151331902,1754.7697270287233,12.164963712242805
0.08,weak_front,1.1,0.8,-0.18,True,1564.4544151331902,1754.0897465297971,12.121499326681384
0.08,weak_front,1.1,0.8,-0.1,True,1565.248720138238,1754.0897465297971,12.064601872019498
0.08,weak_front,1.1,1.0,-0.3,True,1570.4643457354873,1774.4278798912999,12.987466713884
0.08,weak_front,1.1,1.0,-0.18,True,1570.4643457354873,1774.408655893794,12.986242617484866
0.08,weak_front,1.1,1.0,-0.1,True,1570.4643457354873,1772.8255793507712,12.885439530339227
0.08,weak_front,1.35,0.65,-0.3,True,1561.7457996182943,1744.6850775615644,11.71376788642442
0.08,weak_front,1.35,0.65,-0.18,True,1561.7457996182943,1746.0309100629433,11.799942762112114
