condition_cluster,condition_name,limit_mgNm3,voltage_headroom_pct,status,predicted_power_kW,validation_error_adjusted_power_kW,share,historical_power_kW
1,低温低浓度高流量,5.0,5.0,SCENARIO_FEASIBLE,2182.252273203264,2192.0309879379756,0.23347222222222222,1783.1906666666664
2,高温中浓度低流量,5.0,5.0,SCENARIO_FEASIBLE,2245.5062006430185,2255.28491537773,0.20055555555555554,1783.1906666666664
3,高温高浓度高流量,5.0,5.0,SCENARIO_FEASIBLE,2056.0618781668963,2065.840592901608,0.34930555555555554,1783.1906666666664
4,低温高浓度低流量,5.0,5.0,SCENARIO_FEASIBLE,1973.102722684807,1982.8814374195188,0.21666666666666667,1783.1906666666664
1,低温低浓度高流量,6.0,4.0,SCENARIO_FEASIBLE,2144.3720544679204,2154.150769202632,0.23347222222222222,1783.1906666666664
2,高温中浓度低流量,6.0,4.0,SCENARIO_FEASIBLE,2205.761899553611,2215.5406142883226,0.20055555555555554,1783.1906666666664
3,高温高浓度高流量,6.0,4.0,SCENARIO_FEASIBLE,2017.555237550289,2027.3339522850006,0.34930555555555554,1783.1906666666664
4,低温高浓度低流量,6.0,4.0,SCENARIO_FEASIBLE,1938.1977321918537,1947.9764469265654,0.21666666666666667,1783.1906666666664
1,低温低浓度高流量,7.0,3.0,SCENARIO_FEASIBLE,2112.9085911413817,2122.6873058760934,0.23347222222222222,1783.1906666666664
2,高温中浓度低流量,7.0,3.0,SCENARIO_FEASIBLE,2172.577353423235,2182.3560681579465,0.20055555555555554,1783.1906666666664
3,高温高浓度高流量,7.0,3.0,SCENARIO_FEASIBLE,2013.6543582039365,2023.4330729386481,0.34930555555555554,1783.1906666666664
4,低温高浓度低流量,7.0,3.0,SCENARIO_FEASIBLE,1910.43370868302,1920.2124234177318,0.21666666666666667,1783.1906666666664
1,低温低浓度高流量,8.0,2.0,SCENARIO_FEASIBLE,2087.4550446860467,2097.2337594207584,0.23347222222222222,1783.1906666666664
2,高温中浓度低流量,8.0,2.0,SCENARIO_FEASIBLE,2146.7100262433246,2156.4887409780363,0.20055555555555554,1783.1906666666664
3,高温高浓度高流量,8.0,2.0,SCENARIO_FEASIBLE,1963.6882774317503,1973.466992166462,0.34930555555555554,1783.1906666666664
4,低温高浓度低流量,8.0,2.0,SCENARIO_FEASIBLE,1887.3081600293344,1897.0868747640461,0.21666666666666667,1783.1906666666664
1,低温低浓度高流量,9.0,1.0,SCENARIO_FEASIBLE,2064.5622443511916,2074.3409590859033,0.23347222222222222,1783.1906666666664
2,高温中浓度低流量,9.0,1.0,SCENARIO_FEASIBLE,2123.619843719872,2133.3985584545835,0.20055555555555554,1783.1906666666664
3,高温高浓度高流量,9.0,1.0,SCENARIO_FEASIBLE,1942.566480702982,1952.3451954376937,0.34930555555555554,1783.1906666666664
4,低温高浓度低流量,9.0,1.0,SCENARIO_FEASIBLE,1868.5777621828777,1878.3564769175894,0.21666666666666667,1783.1906666666664
1,低温低浓度高流量,10.0,0.0,SCENARIO_FEASIBLE,2045.5489349108639,2055.3276496455755,0.23347222222222222,1783.1906666666664
2,高温中浓度低流量,10.0,0.0,SCENARIO_FEASIBLE,2104.299222550428,2114.07793728514,0.20055555555555554,1783.1906666666664
3,高温高浓度高流量,10.0,0.0,SCENARIO_FEASIBLE,1924.6723008236906,1934.4510155584023,0.34930555555555554,1783.1906666666664
4,低温高浓度低流量,10.0,0.0,SCENARIO_FEASIBLE,1851.1465656529915,1860.9252803877032,0.21666666666666667,1783.1906666666664
