alpha_profile,condition_cluster,condition_name,share,delta_U1_kV,delta_U2_kV,delta_U3_kV,delta_U4_kV
equal,1,低温低浓度高流量,0.23347222222222222,3.5,3.299999999999997,2.8999999999999986,2.8999999999999986
equal,2,高温中浓度低流量,0.20055555555555554,3.5,3.1000000000000085,3.0,2.8999999999999986
equal,3,高温高浓度高流量,0.34930555555555554,3.700000000000003,2.8999999999999986,2.8000000000000043,2.8999999999999986
equal,4,低温高浓度低流量,0.21666666666666667,3.500000000000007,2.799999999999997,2.8999999999999986,2.799999999999997
weak_front,1,低温低浓度高流量,0.23347222222222222,3.5,3.0999999999999943,2.8999999999999986,2.8999999999999986
weak_front,2,高温中浓度低流量,0.20055555555555554,3.5,3.200000000000003,3.0,2.8999999999999986
weak_front,3,高温高浓度高流量,0.34930555555555554,3.8000000000000114,2.8999999999999986,2.8000000000000043,2.8999999999999986
weak_front,4,低温高浓度低流量,0.21666666666666667,3.5,2.8000000000000043,2.8999999999999986,2.8000000000000043
central_front,1,低温低浓度高流量,0.23347222222222222,3.5,3.0,2.8999999999999986,2.8999999999999986
central_front,2,高温中浓度低流量,0.20055555555555554,3.5,3.1000000000000085,3.0,2.8999999999999986
central_front,3,高温高浓度高流量,0.34930555555555554,3.4000000000000057,3.1000000000000014,2.8000000000000043,3.1000000000000014
central_front,4,低温高浓度低流量,0.21666666666666667,3.5,4.6000000000000085,2.8999999999999986,0.0
