window,rows,control,r_Temp_C,r_C_in_gNm3,r_Q_Nm3h
full_record,10080,U1_kV,-0.13011012469008293,0.17200843430746698,0.073816253023011
full_record,10080,U2_kV,-0.127443499742263,0.16640367614749846,0.06980484817942238
full_record,10080,U3_kV,-0.11246379170880978,0.01869324466898428,-0.06812649299916472
full_record,10080,U4_kV,-0.11255029543878303,0.018627014566985532,-0.06295023616939342
full_record,10080,T1_s,-0.07465115032694912,-0.20815356330638413,-0.18030248315321065
full_record,10080,T2_s,-0.06406266627029433,-0.21140229148520562,-0.17544623592131364
full_record,10080,T3_s,-0.15928340373710814,-0.2771212376195088,-0.1304542257430271
full_record,10080,T4_s,-0.15127100011123124,-0.2783474049897842,-0.1352746484810937
train,7200,U1_kV,0.11012069701032512,-0.05162628381763708,-0.1197244017125781
train,7200,U2_kV,0.10536845663402586,-0.05128469662814599,-0.12226589815831129
train,7200,U3_kV,-0.2219988885632355,-0.06519815875505966,-0.21361956788024727
train,7200,U4_kV,-0.2236998479244703,-0.07294530103311515,-0.19848472614343218
train,7200,T1_s,-0.46264639972868493,-0.19273255482499754,-0.19779778315526902
train,7200,T2_s,-0.45387001588914117,-0.19223316091213358,-0.18414393391761957
train,7200,T3_s,-0.3501045394678041,-0.23326418367748902,-0.06936542519303358
train,7200,T4_s,-0.3494695343257688,-0.22923126849324804,-0.06837760723929419
validation,1440,U1_kV,-0.1707258468682144,0.5067790173006136,0.052216574853273814
validation,1440,U2_kV,-0.12632701958085596,0.4413777063744412,0.024365538655345544
validation,1440,U3_kV,0.012949294085734581,-0.10847052450537747,0.06384600806471392
validation,1440,U4_kV,0.03893130268357909,-0.08853977573745983,-0.014320542286427885
validation,1440,T1_s,0.06499208553961244,-0.31401874616222075,-0.0037908580743485935
validation,1440,T2_s,0.09859446952214863,-0.35515967524995284,-0.0003433004164391175
validation,1440,T3_s,0.014035514480645269,-0.12981071344678777,-0.002066330864419053
validation,1440,T4_s,0.0616051880227251,-0.16676897599425697,-0.037017319569830204
retrospective_test,1440,U1_kV,-0.5096271241864567,0.4919369234388821,0.06065307143291169
retrospective_test,1440,U2_kV,-0.5177974240026104,0.46528058724333515,0.08537847769497442
retrospective_test,1440,U3_kV,-0.09451521104264005,0.0633457996196265,-0.04580382952977972
retrospective_test,1440,U4_kV,-0.14802531282767117,0.14028205076892936,-0.05585546778195918
retrospective_test,1440,T1_s,0.36348113888282385,-0.32773116717968565,-0.0317185304453508
retrospective_test,1440,T2_s,0.36501259723073504,-0.32707218742979105,-0.04019513476282312
retrospective_test,1440,T3_s,0.29761463104762337,-0.25460753092987337,0.029970043008202777
retrospective_test,1440,T4_s,0.2612550065857742,-0.21440171207798928,0.037341976489989596
