p_exponent,peak_scale,safety_index,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
1.5,0.9,0.0,False,,,
1.5,0.9,0.08,False,,,
1.5,0.9,0.15,False,,,
1.5,1.2,0.0,False,,,
1.5,1.2,0.08,False,,,
1.5,1.2,0.15,False,,,
1.5,1.5,0.0,False,,,
1.5,1.5,0.08,False,,,
1.5,1.5,0.15,False,,,
2.0,0.9,0.0,True,1953.4125663252837,2078.3233140464613,6.394488797425768
2.0,0.9,0.08,True,1974.2825886303717,2091.311378460712,5.927661546745822
2.0,0.9,0.15,False,,,
2.0,1.2,0.0,True,1959.9676664998715,2092.363375326994,6.754994538433179
2.0,1.2,0.08,True,1972.988238324754,2105.5434577723954,6.71850023597671
2.0,1.2,0.15,False,,,
2.0,1.5,0.0,True,1972.6761571478237,2108.384147298805,6.879385126608595
2.0,1.5,0.08,True,1988.9866758101184,2129.0042331710183,7.039642802225932
2.0,1.5,0.15,False,,,
2.5,0.9,0.0,True,1919.6703914006252,2030.5250019965417,5.77466897924257
2.5,0.9,0.08,True,1926.83728128801,2030.3604465644692,5.372698892729444
2.5,0.9,0.15,True,1905.564434520018,1998.4307961755421,4.873430673516732
2.5,1.2,0.0,True,1922.6406213854334,2035.1430299275985,5.85145280354562
2.5,1.2,0.08,True,1929.6906785670128,2039.9942720990787,5.716128224963879
2.5,1.2,0.15,True,1910.8625089435222,2043.918917503789,6.963159721723322
2.5,1.5,0.0,True,1925.8514049248602,2002.6323278690707,3.986856034056596
2.5,1.5,0.08,True,1932.9697549247126,2010.4591876035522,4.008827995441533
2.5,1.5,0.15,True,1915.536252614956,2018.4819203577765,5.374247947658839
