alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
equal,1.0,0.65,-0.3,True,1960.8503424116784,2081.2811172239026,6.141762693837438
equal,1.0,0.65,-0.18,True,1961.0141606395011,2081.4470644794364,6.141358194000057
equal,1.0,0.65,-0.1,True,1961.1378742359414,2081.6159043171806,6.143271804802475
equal,1.0,0.8,-0.3,True,1964.5562593815084,2090.5580870516005,6.41375511993536
equal,1.0,0.8,-0.18,True,1964.9539146534576,2090.6011859742916,6.394413140370947
equal,1.0,0.8,-0.1,True,1965.1453956702462,2090.4845499399157,6.378110980786755
equal,1.0,1.0,-0.3,True,1970.4939684089281,2102.983020853521,6.723646688021634
equal,1.0,1.0,-0.18,True,1978.5182664901427,2103.264714821791,6.30504405465746
equal,1.0,1.0,-0.1,True,1983.1688564712058,2104.5200122259794,6.119053118386608
equal,1.3,0.65,-0.3,True,1961.464114937892,2082.556954153545,6.173594423341644
equal,1.3,0.65,-0.18,True,1961.861015849895,2083.243735141372,6.187121223716896
equal,1.3,0.65,-0.1,True,1961.9844775545437,2083.411788651487,6.1890046779724095
equal,1.3,0.8,-0.3,True,1965.4086040920233,2092.6214884163173,6.47259221616483
equal,1.3,0.8,-0.18,True,1965.8434256893313,2093.068564527553,6.471783926210173
equal,1.3,0.8,-0.1,True,1967.3011965214123,2092.831124320451,6.380818962597146
equal,1.3,1.0,-0.3,True,1972.6621613900638,2106.4029086936985,6.779708655707806
equal,1.3,1.0,-0.18,True,1980.269727928117,2106.4334493659453,6.3710372207643085
equal,1.3,1.0,-0.1,True,1984.7842382434646,2109.536032390798,6.285408345329202
equal,1.6,0.65,-0.3,True,1962.3125513907435,2084.759039181959,6.239907485911678
equal,1.6,0.65,-0.18,True,1962.4747883761086,2085.044990008289,6.245695606291268
equal,1.6,0.65,-0.1,True,1962.8701138253157,2085.2122571907735,6.232819100140707
equal,1.6,0.8,-0.3,True,1966.9187833926483,2095.222548121508,6.523084014051395
equal,1.6,0.8,-0.18,True,1966.9284892182231,2095.1368706669136,6.518202474135104
equal,1.6,0.8,-0.1,True,1969.5033164380063,2095.3020253887285,6.387331663814533
equal,1.6,1.0,-0.3,True,1974.5390606097608,2109.592240130353,6.839731976681485
equal,1.6,1.0,-0.18,True,1982.4347089243188,2111.4226770566365,6.506543068059356
equal,1.6,1.0,-0.1,True,1986.9212668266437,2114.3534655724407,6.413550495099485
