condition_cluster,condition_name,limit_mgNm3,status,scenario_base_emission_mgNm3,scenario_peak_excess_mgNm3,scenario_peak_total_mgNm3,predicted_power_kW,validation_error_adjusted_power_kW,validation_error_guard_kW,historical_power_kW,power_change_vs_historical_pct,mahalanobis_d2,support_threshold_d2,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,seed,base_supported_candidates,refined_supported_candidates,preliminary_power_kW,local_refinement_improvement_pct
1,低温低浓度高流量,10.0,SCENARIO_FEASIBLE,9.043187199641046,0.9534404805839899,9.996627680225036,1629.6329202654001,1641.4090070243662,11.776086758966064,1818.3502082093992,-10.378489638133924,10.89499186921682,20.547590325920474,55.4,53.5,51.8,48.0,267.0,268.0,465.0,465.0,20260805,170462,229449,1643.01215825304,0.8209970368947328
1,低温低浓度高流量,5.0,SCENARIO_FEASIBLE,4.043412232341772,0.9530188010144329,4.996431033356204,1851.8639023028772,1863.6399890618434,11.776086758966064,1818.3502082093992,1.8430824789510858,10.112899888375454,20.547590325920474,65.0,61.8,51.7,53.2,267.0,267.0,466.0,466.0,20260805,170462,229449,1858.2638389751069,0.34559433143390716
2,高温中浓度低流量,10.0,SCENARIO_FEASIBLE,8.901285643769663,1.0941506305738098,9.995436274343472,1692.9994309169633,1704.7755176759294,11.776086758966064,1870.8927285318557,-9.508471271599328,17.51562863993357,18.719515286292747,57.8,53.1,52.9,48.9,258.0,258.0,448.0,450.0,20260805,128531,187161,1706.7739587245856,0.813616800813799
2,高温中浓度低流量,5.0,SCENARIO_FEASIBLE,3.874700226482395,1.1104339224430941,4.985134148925489,1931.8436593119775,1943.6197460709436,11.776086758966064,1870.8927285318557,3.2578527806857105,10.959063758661344,18.719515286292747,65.6,65.3,52.3,54.5,258.0,256.0,465.0,464.0,20260805,128531,187161,1944.2797568186168,0.6437424398550107
3,高温高浓度高流量,10.0,SCENARIO_FEASIBLE,8.548414697762329,1.447169178399539,9.995583876161868,1595.3706807745107,1607.1467675334768,11.776086758966064,1763.0767395626242,-9.51212474334595,8.187914373618888,16.848383238631552,52.6,55.0,49.2,44.1,253.0,253.0,456.0,466.0,20260805,92140,138615,1600.6643377774149,0.3318136071257305
3,高温高浓度高流量,5.0,SCENARIO_FEASIBLE,3.5407466030429506,1.4484046495434746,4.989151252586425,1813.7601307389236,1825.5362174978898,11.776086758966064,1763.0767395626242,2.8747127132352057,14.502650684298613,16.848383238631552,60.9,61.8,52.2,49.9,251.0,253.0,464.0,464.0,20260805,92140,138615,1824.875654317018,0.6128441897973458
4,低温高浓度低流量,10.0,SCENARIO_FEASIBLE,8.450096241004603,1.538870304152236,9.988966545156838,1532.9042820675709,1544.680368826537,11.776086758966064,1696.550641025641,-9.645828129193868,7.404708625266084,19.092644518304922,51.8,50.8,48.7,46.6,267.0,268.0,473.0,464.0,20260805,149077,198816,1545.030341984145,0.7910513434158162
4,低温高浓度低流量,5.0,SCENARIO_FEASIBLE,3.452022965988016,1.5473923956228894,4.999415361610906,1737.3878291475935,1749.1639159065596,11.776086758966064,1696.550641025641,2.407071568300756,18.164625989380728,19.092644518304922,62.7,57.1,50.0,50.7,268.0,268.0,473.0,472.0,20260805,149077,198816,1742.5932216184049,0.29961027604097357
1,低温低浓度高流量,10.0,SCENARIO_FEASIBLE,9.030567718044962,0.9550858412028137,9.985653559247776,1636.7549092460195,1648.5309960049856,11.776086758966064,1818.3502082093992,-9.98681651881591,9.610874724906186,20.547590325920474,54.5,57.3,47.7,49.8,267.0,268.0,467.0,466.0,20260806,170479,229892,1643.7147915045734,0.4252244620888357
1,低温低浓度高流量,5.0,SCENARIO_FEASIBLE,4.042319403143703,0.9477262364738785,4.990045639617582,1848.7740989822457,1860.5501857412119,11.776086758966064,1818.3502082093992,1.6731590336938496,14.325389573483397,20.547590325920474,65.0,57.7,54.6,54.3,267.0,268.0,465.0,453.0,20260806,170479,229892,1856.1056368719255,0.39656212696379534
