timestamp,Temp_C,C_in_gNm3,Q_Nm3h,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,C_out_mgNm3,P_total_kW,split,dust_load_kg_h,condition_cluster,C_out_missing_flag,C_out_cap50_flag,C_out_exact_flag
2024-05-01 00:00:00,125.5,36.24,474789,55.0,56.7,45.8,52.1,203,218,379,385,50.0,1808.4,train,17206.35336,3,0,1,0
2024-05-01 00:01:00,123.8,34.67,449604,57.7,57.7,47.4,45.8,206,237,389,406,49.7,1760.2,train,15587.77068,2,0,0,1
2024-05-01 00:02:00,126.1,36.65,462320,57.1,59.3,48.7,45.7,211,218,393,403,50.0,1791.2,train,16944.028,2,0,1,0
2024-05-01 00:03:00,125.4,38.86,472731,59.9,57.3,50.5,46.8,213,201,397,390,50.0,1855.6,train,18370.32666,3,0,1,0
2024-05-01 00:04:00,124.5,34.48,465055,59.4,57.0,48.7,49.2,215,208,402,370,50.0,1851.4,train,16035.0964,1,0,1,0
2024-05-01 00:05:00,124.0,34.5,461733,57.6,56.8,48.3,49.2,205,204,399,401,49.75,1825.7,train,15929.7885,1,0,0,1
2024-05-01 00:06:00,124.8,39.05,452645,55.9,58.5,46.2,46.9,216,210,412,397,49.82,1764.9,train,17675.78725,4,0,0,1
2024-05-01 00:07:00,123.8,37.04,449404,60.1,57.7,49.8,50.0,216,223,391,391,50.0,1862.4,train,16645.92416,4,0,1,0
2024-05-01 00:08:00,125.2,33.97,466684,57.9,59.4,47.5,47.1,205,206,388,404,49.91,1838.5,train,15853.255479999998,1,0,0,1
2024-05-01 00:09:00,125.2,36.51,472638,54.8,58.8,45.2,49.7,189,203,373,396,49.82,1835.7,train,17256.01338,3,0,0,1
2024-05-01 00:10:00,125.5,34.02,457144,55.0,52.2,46.3,45.2,200,216,402,387,50.0,1705.5,train,15552.03888,2,0,1,0
2024-05-01 00:11:00,127.7,34.03,451607,58.9,54.5,49.4,46.1,229,200,398,402,49.96,1787.0,train,15368.186210000002,2,0,0,1
2024-05-01 00:12:00,124.9,35.81,441120,55.5,57.1,49.5,47.2,190,200,383,393,50.0,1840.9,train,15796.507200000002,2,0,1,0
2024-05-01 00:13:00,126.6,30.44,453005,61.8,60.0,42.7,47.9,226,215,393,401,50.0,1808.6,train,13789.472200000002,2,0,1,0
2024-05-01 00:14:00,125.5,30.93,460007,56.2,56.8,47.8,46.4,189,189,390,392,49.66,1844.8,train,14228.01651,2,0,0,1
2024-05-01 00:15:00,124.8,33.86,473775,58.1,58.8,45.4,46.3,201,204,392,397,50.0,1819.2,train,16042.0215,1,0,1,0
2024-05-01 00:16:00,125.0,32.75,466432,58.4,59.3,48.8,48.9,206,221,387,408,49.76,1849.5,train,15275.648,1,0,0,1
2024-05-01 00:17:00,125.1,36.08,463553,56.6,59.2,49.2,49.7,232,188,392,407,50.0,1856.0,train,16724.99224,2,0,1,0
2024-05-01 00:18:00,125.6,33.04,457977,53.6,57.0,45.9,46.5,211,189,372,384,49.54,1781.7,train,15131.56008,2,0,0,1
2024-05-01 00:19:00,123.7,31.8,456578,58.5,55.8,48.1,45.4,208,193,385,401,50.0,1808.7,train,14519.1804,1,0,1,0
2024-05-01 00:20:00,123.0,39.01,472554,56.6,55.5,49.7,48.2,199,178,394,383,49.87,1861.3,train,18434.33154,3,0,0,1
2024-05-01 00:21:00,126.2,34.8,462980,58.3,64.0,50.1,49.0,217,233,382,400,50.0,1884.3,train,16111.703999999998,2,0,1,0
2024-05-01 00:22:00,126.5,35.55,444619,57.9,59.0,46.4,45.9,204,212,395,389,49.72,1808.5,train,15806.20545,2,0,0,1
2024-05-01 00:23:00,126.3,31.84,456117,58.6,61.8,50.2,51.4,208,202,415,372,50.0,1927.3,train,14522.76528,2,0,1,0
2024-05-01 00:24:00,125.4,34.06,454705,61.2,56.4,48.6,46.3,206,195,377,394,50.0,1864.5,train,15487.2523,2,0,1,0
2024-05-01 00:25:00,126.4,35.71,457265,57.0,60.6,47.1,47.5,219,237,368,403,49.79,1783.3,train,16328.93315,2,0,0,1
2024-05-01 00:26:00,126.3,32.58,466204,57.2,57.2,47.9,47.6,220,218,405,398,49.92,1784.3,train,15188.92632,2,0,0,1
2024-05-01 00:27:00,126.4,36.41,460907,54.8,58.1,49.7,46.4,200,209,416,380,50.0,1806.4,train,16781.623869999996,2,0,1,0
2024-05-01 00:28:00,124.0,33.99,461217,57.7,57.5,49.6,51.7,203,225,395,394,50.0,1842.2,train,15676.76583,1,0,1,0
2024-05-01 00:29:00,123.6,34.78,472405,58.9,56.4,49.9,46.2,202,215,391,389,49.66,1828.1,train,16430.2459,1,0,0,1
2024-05-01 00:30:00,124.7,34.02,456391,57.2,56.4,46.7,51.5,213,204,383,400,50.0,1821.2,train,15526.42182,2,0,1,0
2024-05-01 00:31:00,125.2,40.17,476941,59.0,58.1,48.5,47.5,221,203,397,403,49.7,1814.7,train,19158.71997,3,0,0,1
2024-05-01 00:32:00,124.9,35.52,456722,57.8,57.0,47.6,47.5,213,203,390,375,50.0,1813.5,train,16222.76544,2,0,1,0
2024-05-01 00:33:00,122.5,32.93,462872,55.5,58.4,48.5,46.8,184,198,401,392,49.7,1851.9,train,15242.37496,1,0,0,1
2024-05-01 00:34:00,127.9,37.65,459974,58.8,56.5,47.1,49.4,220,224,370,380,49.87,1816.3,train,17318.021099999998,2,0,0,1
2024-05-01 00:35:00,124.9,32.56,463276,57.7,59.6,51.3,52.0,194,204,395,393,49.99,1929.6,train,15084.26656,1,0,0,1
2024-05-01 00:36:00,125.6,36.15,465911,58.4,57.2,48.0,46.9,202,227,381,374,50.0,1815.5,train,16842.68265,3,0,1,0
2024-05-01 00:37:00,127.2,30.75,465890,57.0,61.4,47.8,47.5,213,201,402,390,50.0,1859.1,train,14326.1175,2,0,1,0
2024-05-01 00:38:00,121.8,32.34,456460,56.9,58.1,49.0,51.0,210,203,377,394,50.0,1863.7,train,14761.916400000002,1,0,1,0
