model,selected_alpha,split,r2,rmse_kW,bias_kW
mean_predictor,,train,0.0,135.463842876163,1.940255363782247e-13
linear_ridge_T,10.0,train,0.9974745717093616,6.807551135483875,2.0075200761008698e-13
quadratic_ridge_T,0.1,train,0.9978196080039827,6.325439134855343,-4.2695723499895795e-14
physical_invT,,train,0.9980727894235566,5.946863591639782,1.4649812227516022e-13
physical_invT_plus_conditions,,train,0.9980730187911576,5.946509697146067,9.003997547551989e-13
mean_predictor,,validation,-5.325898205694385,140.1807313553288,128.6244861111113
linear_ridge_T,10.0,validation,0.9797671753422184,7.927851029798731,0.2834332343487311
quadratic_ridge_T,0.1,validation,0.9836748381911696,7.12124568282986,-1.8731535682265714
physical_invT,,validation,0.9885424887060452,5.965850539424423,0.1074880891057873
physical_invT_plus_conditions,,validation,0.988533319936558,5.968237120950198,0.21149022234427406
mean_predictor,,retrospective_test,-0.3733481483855774,83.5132281608838,-43.54336111111092
linear_ridge_T,10.0,retrospective_test,0.9179863015428297,20.408361893253854,-16.651189207912317
quadratic_ridge_T,0.1,retrospective_test,0.9570781626465977,14.7640021763842,-10.778136591090773
physical_invT,,retrospective_test,0.9929511224056288,5.983081693578674,-0.023521093486491573
physical_invT_plus_conditions,,retrospective_test,0.9929495231698675,5.983760370107509,0.07875697758816343
